Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
BANDAR CEMERLANG,TEBRAU,JOHOR,FREEHOLD,SEMI D,828000.0,345.0,69
SETIA IMPIAN 3,SETIA ALAM,SELANGOR,FREEHOLD,SEMI D,930000.0,584.0,69
SETIA IMPIAN 3,SETIA ALAM,SELANGOR,FREEHOLD,TERRACE HOUSE,930000.0,584.0,69
ECO BOTANIC,ISKANDAR PUTERI (NUSAJAYA),JOHOR,FREEHOLD,TERRACE HOUSE,1260000.0,580.0,68
TAMAN PULAI MUTIARA,SKUDAI,JOHOR,FREEHOLD,CLUSTER HOUSE,550000.0,426.0,68
TAMAN PULAI MUTIARA,SKUDAI,JOHOR,FREEHOLD,TERRACE HOUSE,550000.0,426.0,68
GOODVIEW HEIGHTS,KAJANG,SELANGOR,FREEHOLD,TERRACE HOUSE,768800.0,542.0,67
GOODVIEW HEIGHTS,KAJANG,SELANGOR,FREEHOLD,TOWN HOUSE,768800.0,542.0,67
TAMAN KERSANI,KUALA PILAH,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,298000.0,192.0,67
IRAMA SENDAYAN 2C,LABU,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,584999.0,417.0,67
TAMAN KLANG UTAMA,KAPAR,SELANGOR,FREEHOLD,TERRACE HOUSE,427500.0,403.0,66
TAMAN DESA PD,LINGGI,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,180000.0,131.0,66
MENTARI COURT,BANDAR SUNWAY,SELANGOR,LEASEHOLD,APARTMENT,400000.0,516.0,37
TAMAN BENTARA,TELOK PANGLIMA GARANG,SELANGOR,LEASEHOLD,TERRACE HOUSE,455000.0,287.0,65
BANDAR TASIK KESUMA,BERANANG,SELANGOR,FREEHOLD,SEMI D,400000.0,293.0,64
BANDAR TASIK KESUMA,BERANANG,SELANGOR,FREEHOLD,TERRACE HOUSE,400000.0,293.0,64
BANDAR TASIK KESUMA,BERANANG,SELANGOR,FREEHOLD,TOWN HOUSE,400000.0,293.0,64
TAMAN POLO LAGUNA @ TAMBUN,IPOH,PERAK,LEASEHOLD,TERRACE HOUSE,487800.0,349.0,64
TAMAN HARMONIS FASA 2,SERI ISKANDAR,PERAK,LEASEHOLD,CLUSTER HOUSE,240000.0,175.0,64
TAMAN HARMONIS FASA 2,SERI ISKANDAR,PERAK,LEASEHOLD,TERRACE HOUSE,240000.0,175.0,64
TAMAN TUN DR ISMAIL,TAMAN TUN DR ISMAIL,KUALA LUMPUR,FREEHOLD,TERRACE HOUSE,1526237.5,768.0,64
TAMAN KAMUNTING PUTRA FASA 1,KAMUNTING,PERAK,LEASEHOLD,TERRACE HOUSE,171000.0,131.0,63
BANDAR SUNGAI LONG,BANDAR SUNGAI LONG,SELANGOR,FREEHOLD,TERRACE HOUSE,690000.0,440.0,63
BANDAR BARU SRI PETALING,SRI PETALING,KUALA LUMPUR,LEASEHOLD,SEMI D,845000.0,511.0,63
BANDAR BARU SRI PETALING,SRI PETALING,KUALA LUMPUR,LEASEHOLD,TERRACE HOUSE,845000.0,511.0,63
BANDAR AMANJAYA (ZON ANGGERIK),SUNGAI PETANI,KEDAH,FREEHOLD,SEMI D,215000.0,166.0,63
BANDAR AMANJAYA (ZON ANGGERIK),SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,215000.0,166.0,63
CHEMOR KAYANGAN,IPOH,PERAK,LEASEHOLD,TERRACE HOUSE,228000.0,156.0,62
BANDAR JAYA PUTRA,TEBRAU,JOHOR,FREEHOLD,CLUSTER HOUSE,1201200.0,549.0,62
BANDAR JAYA PUTRA,TEBRAU,JOHOR,FREEHOLD,TERRACE HOUSE,1201200.0,549.0,62
BANDAR JAYA PUTRA,ULU TIRAM,JOHOR,FREEHOLD,TERRACE HOUSE,620000.0,501.0,62
TAMAN SRI MUDA,SHAH ALAM,SELANGOR,FREEHOLD,TERRACE HOUSE,330000.0,321.0,61
TAMAN PENAWAR HARMONI,PENGERANG,JOHOR,LEASEHOLD,TERRACE HOUSE,80000.0,67.0,60
TAMAN GADONG JAYA,LABU,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,280000.0,207.0,60
TAMAN GADONG JAYA,LABU,NEGERI SEMBILAN,FREEHOLD,TOWN HOUSE,280000.0,207.0,60
TAMAN MOLEK,JOHOR BAHRU,JOHOR,FREEHOLD,TERRACE HOUSE,600000.0,322.0,60
ALAM SARI BANGI,BANGI,SELANGOR,FREEHOLD,CLUSTER HOUSE,857000.0,416.0,60
ALAM SARI BANGI,BANGI,SELANGOR,FREEHOLD,TERRACE HOUSE,857000.0,416.0,60
BANDAR SUNGAI BUAYA,SERENDAH,SELANGOR,LEASEHOLD,TERRACE HOUSE,300000.0,188.0,60
SRI PUTRAMAS,JALAN KUCHING,KUALA LUMPUR,FREEHOLD,CONDOMINIUM,650000.0,619.0,32
TAMAN RIA,SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,220000.0,152.0,59
KOTA PUTERI BANDAR BARU BATU ARANG,BATU ARANG,SELANGOR,LEASEHOLD,TERRACE HOUSE,590000.0,272.0,59
TAMAN TUNKU,MIRI,SARAWAK,LEASEHOLD,TERRACE HOUSE,288000.0,182.0,59
ROYAL DOMAIN SRI PUTRAMAS 2,JALAN KUCHING,KUALA LUMPUR,FREEHOLD,CONDOMINIUM,850000.0,669.0,32
SETIA ECOHILL,SEMENYIH,SELANGOR,FREEHOLD,TERRACE HOUSE,670000.0,354.0,58
SS2 PETALING JAYA,PETALING JAYA,SELANGOR,FREEHOLD,TERRACE HOUSE,1120000.0,625.0,58
AMBANG BOTANIC,KLANG,SELANGOR,FREEHOLD,BUNGALOW,1590000.0,546.0,58
AMBANG BOTANIC,KLANG,SELANGOR,FREEHOLD,SEMI D,1590000.0,546.0,58
BANDAR TASEK MUTIARA,SIMPANG AMPAT,PENANG,FREEHOLD,TERRACE HOUSE,425000.0,270.0,58
